Gene	HGNC_ID	ENTREZ_ID
NMD3	HGNC:24250
NMT1	HGNC:7857
NOC4L	HGNC:28461
NOL10	HGNC:25862
NOL11	HGNC:24557
NOL6	HGNC:19910
NOL9	HGNC:26265
NOP16	HGNC:26934
NOP2	HGNC:7867
NOP56	HGNC:15911
NOP9	HGNC:19826
NPLOC4	HGNC:18261
NSA2	HGNC:30728
NSF	HGNC:8016
NUDC	HGNC:8045
NUDCD3	HGNC:22208
NUDT21	HGNC:13870
NUDT4	HGNC:8051
NUF2	HGNC:14621
NUP133	HGNC:18016
NUP155	HGNC:8063
NUP160	HGNC:18017
NUP214	HGNC:8064
NUP85	HGNC:8734
NUP88	HGNC:8067
NUP93	HGNC:28958
NUS1	HGNC:21042
NUTF2	HGNC:13722
NVL	HGNC:8070
NXF1	HGNC:8071
OGDH	HGNC:8124
OGT	HGNC:8127
ORAOV1	HGNC:17589
ORC6	HGNC:17151
OSGEP	HGNC:18028
PABPC1	HGNC:8554
PAFAH1B1	HGNC:8574
PAICS	HGNC:8587
PAK1IP1	HGNC:20882
PCID2	HGNC:25653
PCNA	HGNC:8729
PFDN2	HGNC:8867
PFN1	HGNC:8881
PGAM1	HGNC:8888
PGGT1B	HGNC:8895
PGK1	HGNC:8896
PHB	HGNC:8912
PHB2	HGNC:30306
PHF5A	HGNC:18000
PKMYT1	HGNC:29650
PLK1	HGNC:9077
PLRG1	HGNC:9089
PMPCA	HGNC:18667
PMPCB	HGNC:9119
PNKP	HGNC:9154
POLA2	HGNC:30073
POLR1A	HGNC:17264
POLR1B	HGNC:20454
POLR1C	HGNC:20194
POLR2A	HGNC:9187
POLR2B	HGNC:9188
POLR2C	HGNC:9189
POLR2D	HGNC:9191
POLR2E	HGNC:9192
POLR2G	HGNC:9194
POLR2H	HGNC:9195
POLR2I	HGNC:9196
POLR2L	HGNC:9199
POLR3A	HGNC:30074
POLR3C	HGNC:30076
POLR3H	HGNC:30349
POLR3K	HGNC:14121
POLRMT	HGNC:9200
POP1	HGNC:30129
POP5	HGNC:17689
PPA1	HGNC:9226
PPAN	HGNC:9227
PPAT	HGNC:9238
PPIL2	HGNC:9261
PPP2CA	HGNC:9299
PPP2R4	HGNC:9308
PPP4C	HGNC:9319
PPWD1	HGNC:28954
PREB	HGNC:9356
PRELID1	HGNC:30255
PRIM1	HGNC:9369
PRMT1	HGNC:5187
PRMT5	HGNC:10894
PRPF19	HGNC:17896
PRPF31	HGNC:15446
PRPF38A	HGNC:25930
PRPF38B	HGNC:25512
PRPF4	HGNC:17349
PRPF8	HGNC:17340
PSMA1	HGNC:9530
PSMA2	HGNC:9531
PSMA3	HGNC:9532
PSMA4	HGNC:9533
PSMA5	HGNC:9534
PSMA6	HGNC:9535
PSMA7	HGNC:9536
PSMB1	HGNC:9537
PSMB2	HGNC:9539
PSMB3	HGNC:9540
PSMB4	HGNC:9541
PSMB7	HGNC:9544
PSMC2	HGNC:9548
PSMC3	HGNC:9549
PSMC5	HGNC:9552
PSMC6	HGNC:9553
PSMD1	HGNC:9554
PSMD11	HGNC:9556
PSMD12	HGNC:9557
PSMD13	HGNC:9558
PSMD14	HGNC:16889
PSMD3	HGNC:9560
PSMD4	HGNC:9561
PSMG3	HGNC:22420
PTPN23	HGNC:14406
PUF60	HGNC:17042
PWP2	HGNC:9711
QARS	HGNC:9751
RABGGTB	HGNC:9796
RACGAP1	HGNC:9804
RAD21	HGNC:9811
RAD51C	HGNC:9820
RAD51D	HGNC:9823
RAE1	HGNC:9828
RAN	HGNC:9846
RANGAP1	HGNC:9854
RARS2	HGNC:21406
RBBP6	HGNC:9889
RBM14	HGNC:14219
RBM17	HGNC:16944
RBM8A	HGNC:9905
RBMX	HGNC:9910
RBX1	HGNC:9928
RCC1	HGNC:1913
RCL1	HGNC:17687
RFC2	HGNC:9970
RFC4	HGNC:9972
RFC5	HGNC:9973
RFK	HGNC:30324
RHEB	HGNC:10011
RIOK2	HGNC:18999
RNF20	HGNC:10062
RNGTT	HGNC:10073
ROMO1	HGNC:16185
RPA1	HGNC:10289
RPA2	HGNC:10290
RPF2	HGNC:20870
RPL10A	HGNC:10299
RPL11	HGNC:10301
RPL12	HGNC:10302
RPL13	HGNC:10303
RPL14	HGNC:10305
RPL18	HGNC:10310
RPL18A	HGNC:10311
RPL19	HGNC:10312
RPL23	HGNC:10316
RPL24	HGNC:10325
RPL27	HGNC:10328
RPL27A	HGNC:10329
RPL3	HGNC:10332
RPL30	HGNC:10333
RPL35	HGNC:10344
RPL35A	HGNC:10345
RPL36	HGNC:13631
RPL37A	HGNC:10348
RPL4	HGNC:10353
RPL6	HGNC:10362
RPL8	HGNC:10368
RPLP0	HGNC:10371
RPLP1	HGNC:10372
RPLP2	HGNC:10377
RPP21	HGNC:21300
RPP38	HGNC:30329
RPS11	HGNC:10384
RPS12	HGNC:10385
RPS13	HGNC:10386
RPS15A	HGNC:10389
RPS16	HGNC:10396
RPS18	HGNC:10401
RPS19	HGNC:10402
RPS2	HGNC:10404
RPS20	HGNC:10405
RPS21	HGNC:10409
RPS23	HGNC:10410
RPS3	HGNC:10420
RPS4X	HGNC:10424
RPS5	HGNC:10426
RPS6	HGNC:10429
RPS7	HGNC:10440
RPS8	HGNC:10441
RRM1	HGNC:10451
RRP1	HGNC:18785
RRP12	HGNC:29100
RRS1	HGNC:17083
RTCB	HGNC:26935
RUVBL2	HGNC:10475
SACM1L	HGNC:17059
SAE1	HGNC:30660
SAMM50	HGNC:24276
SAP18	HGNC:10530
SARS	HGNC:10537
SARS2	HGNC:17697
SART3	HGNC:16860
SBNO1	HGNC:22973
SDAD1	HGNC:25537
SDHC	HGNC:10682
SEC13	HGNC:10697
SEH1L	HGNC:30379
SF1	HGNC:12950
SF3A2	HGNC:10766
SF3A3	HGNC:10767
SF3B1	HGNC:10768
SF3B2	HGNC:10769
SF3B3	HGNC:10770
SF3B5	HGNC:21083
SKP1	HGNC:10899
SLC35B1	HGNC:20798
SLMO2	HGNC:15892
SLU7	HGNC:16939
SMC1A	HGNC:11111
SMC2	HGNC:14011
SMC4	HGNC:14013
SMU1	HGNC:18247
SNAPC1	HGNC:11134
SNAPC2	HGNC:11135
SNAPC4	HGNC:11137
SNRNP200	HGNC:30859
SNRNP25	HGNC:14161
SNRNP27	HGNC:30240
SNRNP35	HGNC:30852
SNRNP70	HGNC:11150
SNRPA1	HGNC:11152
SNRPD1	HGNC:11158
SNRPD2	HGNC:11159
SNRPD3	HGNC:11160
SNRPF	HGNC:11162
SNW1	HGNC:16696
SPATA5L1	HGNC:28762
SPC24	HGNC:26913
SPC25	HGNC:24031
SRBD1	HGNC:25521
SRP19	HGNC:11300
SRRM1	HGNC:16638
SRRT	HGNC:24101
SRSF1	HGNC:10780
SRSF2	HGNC:10783
SRSF3	HGNC:10785
SRSF7	HGNC:10789
SS18L2	HGNC:15593
SSU72	HGNC:25016
SUPT5H	HGNC:11469
SUPT6H	HGNC:11470
SUPV3L1	HGNC:11471
SYMPK	HGNC:22935
SYS1	HGNC:16162
TAF1B	HGNC:11533
TAF6	HGNC:11540
TANGO6	HGNC:25749
TARS	HGNC:11572
TBCD	HGNC:11581
TBL3	HGNC:11587
TCP1	HGNC:11655
TELO2	HGNC:29099
TFAM	HGNC:11741
TFRC	HGNC:11763
THOC2	HGNC:19073
THOC3	HGNC:19072
THOC5	HGNC:19074
TICRR	HGNC:28704
TIMM10	HGNC:11814
TIMM13	HGNC:11816
TIMM23	HGNC:17312
TIMM44	HGNC:17316
TMEM258	HGNC:1164
TNPO3	HGNC:17103
TOMM22	HGNC:18002
TOMM40	HGNC:18001
TONSL	HGNC:7801
TOP1	HGNC:11986
TOP2A	HGNC:11989
TPT1	HGNC:12022
TPX2	HGNC:1249
TRAPPC1	HGNC:19894
TRAPPC3	HGNC:19942
TRIAP1	HGNC:26937
TRMT112	HGNC:26940
TRMT5	HGNC:23141
TRNAU1AP	HGNC:30813
TRRAP	HGNC:12347
TSR1	HGNC:25542
TTC1	HGNC:12391
TTC27	HGNC:25986
TTI1	HGNC:29029
TTI2	HGNC:26262
TUBB	HGNC:20778
TUBG1	HGNC:12417
TUBGCP2	HGNC:18599
TUBGCP3	HGNC:18598
TUBGCP6	HGNC:18127
TUFM	HGNC:12420
TUT1	HGNC:26184
TXN	HGNC:12435
TXNL4A	HGNC:30551
U2AF1	HGNC:12453
U2AF2	HGNC:23156
UBA1	HGNC:12469
UBA52	HGNC:12458
UBE2L3	HGNC:12488
UBE2M	HGNC:12491
UBE2N	HGNC:12492
UBL5	HGNC:13736
UBTF	HGNC:12511
UPF1	HGNC:9962
UPF2	HGNC:17854
UQCRC1	HGNC:12585
UQCRFS1	HGNC:12587
UROD	HGNC:12591
USP39	HGNC:20071
USP5	HGNC:12628
USPL1	HGNC:20294
UTP15	HGNC:25758
UTP20	HGNC:17897
UTP23	HGNC:28224
UXT	HGNC:12641
VARS	HGNC:12651
VARS2	HGNC:21642
VCP	HGNC:12666
VPS25	HGNC:28122
VPS28	HGNC:18178
WARS	HGNC:12729
WBSCR22	HGNC:16405
WDR12	HGNC:14098
WDR25	HGNC:21064
WDR3	HGNC:12755
WDR33	HGNC:25651
WDR43	HGNC:28945
WDR61	HGNC:30300
WDR70	HGNC:25495
WDR74	HGNC:25529
WDR75	HGNC:25725
WDR77	HGNC:29652
WDR92	HGNC:25176
WEE1	HGNC:12761
XAB2	HGNC:14089
XPO1	HGNC:12825
XRCC6	HGNC:4055
YARS	HGNC:12840
YARS2	HGNC:24249
YRDC	HGNC:28905
ZBTB8OS	HGNC:24094
ZMAT5	HGNC:28046
ZNF131	HGNC:12915
ZNF259	HGNC:13051
ZNF574	HGNC:26166
